lat,lon,start_date
24.0,122.0,20240101
24.0,123.0,20240101
24.0,124.0,20240101
24.0,125.0,20240101
24.0,126.0,20240101
24.0,127.0,20240101
24.0,128.0,20240101
24.0,129.0,20240101
24.0,130.0,20240101
24.0,131.0,20240101
24.0,132.0,20240101
24.0,133.0,20240101
24.0,134.0,20240101
24.0,135.0,20240101
24.0,136.0,20240101
24.0,137.0,20240101
24.0,138.0,20240101
24.0,139.0,20240101
24.0,140.0,20240101
24.0,141.0,20240101
24.0,142.0,20240101
24.0,143.0,20240101
24.0,144.0,20240101
24.0,145.0,20240101
24.0,146.0,20240101
25.0,122.0,20240101
25.0,123.0,20240101
25.0,124.0,20240101
25.0,125.0,20240101
25.0,126.0,20240101
25.0,127.0,20240101
25.0,128.0,20240101
25.0,129.0,20240101
25.0,130.0,20240101
25.0,131.0,20240101
25.0,132.0,20240101
25.0,133.0,20240101
25.0,134.0,20240101
25.0,135.0,20240101
25.0,136.0,20240101
25.0,137.0,20240101
25.0,138.0,20240101
25.0,139.0,20240101
25.0,140.0,20240101
25.0,141.0,20240101
25.0,142.0,20240101
25.0,143.0,20240101
25.0,144.0,20240101
25.0,145.0,20240101
25.0,146.0,20240101
26.0,122.0,20240101
26.0,123.0,20240101
26.0,124.0,20240101
26.0,125.0,20240101
26.0,126.0,20240101
26.0,127.0,20240101
26.0,128.0,20240101
26.0,129.0,20240101
26.0,130.0,20240101
26.0,131.0,20240101
26.0,132.0,20240101
26.0,133.0,20240101
26.0,134.0,20240101
26.0,135.0,20240101
26.0,136.0,20240101
26.0,137.0,20240101
26.0,138.0,20240101
26.0,139.0,20240101
26.0,140.0,20240101
26.0,141.0,20240101
26.0,142.0,20240101
26.0,143.0,20240101
26.0,144.0,20240101
26.0,145.0,20240101
26.0,146.0,20240101
27.0,122.0,20240101
27.0,123.0,20240101
27.0,124.0,20240101
27.0,125.0,20240101
27.0,126.0,20240101
27.0,127.0,20240101
27.0,128.0,20240101
27.0,129.0,20240101
27.0,130.0,20240101
27.0,131.0,20240101
27.0,132.0,20240101
27.0,133.0,20240101
27.0,134.0,20240101
27.0,135.0,20240101
27.0,136.0,20240101
27.0,137.0,20240101
