lat,lon,start_date
38.0,127.0,20240101
38.0,128.0,20240101
38.0,129.0,20240101
38.0,130.0,20240101
38.0,131.0,20240101
38.0,132.0,20240101
38.0,133.0,20240101
38.0,134.0,20240101
38.0,135.0,20240101
38.0,136.0,20240101
38.0,137.0,20240101
38.0,138.0,20240101
38.0,139.0,20240101
38.0,140.0,20240101
38.0,141.0,20240101
38.0,142.0,20240101
38.0,143.0,20240101
38.0,144.0,20240101
38.0,145.0,20240101
38.0,146.0,20240101
39.0,122.0,20240101
39.0,123.0,20240101
39.0,124.0,20240101
39.0,125.0,20240101
39.0,126.0,20240101
39.0,127.0,20240101
39.0,128.0,20240101
39.0,129.0,20240101
39.0,130.0,20240101
39.0,131.0,20240101
39.0,132.0,20240101
39.0,133.0,20240101
39.0,134.0,20240101
39.0,135.0,20240101
39.0,136.0,20240101
39.0,137.0,20240101
39.0,138.0,20240101
39.0,139.0,20240101
39.0,140.0,20240101
39.0,141.0,20240101
39.0,142.0,20240101
39.0,143.0,20240101
39.0,144.0,20240101
39.0,145.0,20240101
39.0,146.0,20240101
40.0,122.0,20240101
40.0,123.0,20240101
40.0,124.0,20240101
40.0,125.0,20240101
40.0,126.0,20240101
40.0,127.0,20240101
40.0,128.0,20240101
40.0,129.0,20240101
40.0,130.0,20240101
40.0,131.0,20240101
40.0,132.0,20240101
40.0,133.0,20240101
40.0,134.0,20240101
40.0,135.0,20240101
40.0,136.0,20240101
40.0,137.0,20240101
40.0,138.0,20240101
40.0,139.0,20240101
40.0,140.0,20240101
40.0,141.0,20240101
40.0,142.0,20240101
40.0,143.0,20240101
40.0,144.0,20240101
40.0,145.0,20240101
40.0,146.0,20240101
41.0,122.0,20240101
41.0,123.0,20240101
41.0,124.0,20240101
41.0,125.0,20240101
41.0,126.0,20240101
41.0,127.0,20240101
41.0,128.0,20240101
41.0,129.0,20240101
41.0,130.0,20240101
41.0,131.0,20240101
41.0,132.0,20240101
41.0,133.0,20240101
41.0,134.0,20240101
41.0,135.0,20240101
41.0,136.0,20240101
41.0,137.0,20240101
41.0,138.0,20240101
41.0,139.0,20240101
41.0,140.0,20240101
41.0,141.0,20240101
41.0,142.0,20240101
41.0,143.0,20240101
41.0,144.0,20240101
41.0,145.0,20240101
41.0,146.0,20240101
42.0,122.0,20240101
42.0,123.0,20240101
42.0,124.0,20240101
42.0,125.0,20240101
42.0,126.0,20240101
42.0,127.0,20240101
42.0,128.0,20240101
42.0,129.0,20240101
42.0,130.0,20240101
42.0,131.0,20240101
42.0,132.0,20240101
42.0,133.0,20240101
42.0,134.0,20240101
42.0,135.0,20240101
42.0,136.0,20240101
42.0,137.0,20240101
42.0,138.0,20240101
42.0,139.0,20240101
42.0,140.0,20240101
42.0,141.0,20240101
42.0,142.0,20240101
42.0,143.0,20240101
42.0,144.0,20240101
42.0,145.0,20240101
42.0,146.0,20240101
43.0,122.0,20240101
43.0,123.0,20240101
43.0,124.0,20240101
43.0,125.0,20240101
43.0,126.0,20240101
43.0,127.0,20240101
43.0,128.0,20240101
43.0,129.0,20240101
43.0,130.0,20240101
43.0,131.0,20240101
43.0,132.0,20240101
43.0,133.0,20240101
43.0,134.0,20240101
43.0,135.0,20240101
43.0,136.0,20240101
43.0,137.0,20240101
43.0,138.0,20240101
43.0,139.0,20240101
43.0,140.0,20240101
43.0,141.0,20240101
43.0,142.0,20240101
43.0,143.0,20240101
43.0,144.0,20240101
43.0,145.0,20240101
43.0,146.0,20240101
44.0,122.0,20240101
44.0,123.0,20240101
44.0,124.0,20240101
44.0,125.0,20240101
44.0,126.0,20240101
44.0,127.0,20240101
44.0,128.0,20240101
44.0,129.0,20240101
44.0,130.0,20240101
44.0,131.0,20240101
44.0,132.0,20240101
44.0,133.0,20240101
44.0,134.0,20240101
44.0,135.0,20240101
44.0,136.0,20240101
44.0,137.0,20240101
44.0,138.0,20240101
44.0,139.0,20240101
44.0,140.0,20240101
44.0,141.0,20240101
44.0,142.0,20240101
44.0,143.0,20240101
44.0,144.0,20240101
44.0,145.0,20240101
44.0,146.0,20240101
45.0,122.0,20240101
45.0,123.0,20240101
45.0,124.0,20240101
45.0,125.0,20240101
45.0,126.0,20240101
45.0,127.0,20240101
45.0,128.0,20240101
45.0,129.0,20240101
45.0,130.0,20240101
45.0,131.0,20240101
45.0,132.0,20240101
45.0,133.0,20240101
45.0,134.0,20240101
45.0,135.0,20240101
45.0,136.0,20240101
45.0,137.0,20240101
45.0,138.0,20240101
45.0,139.0,20240101
45.0,140.0,20240101
45.0,141.0,20240101
45.0,142.0,20240101
45.0,143.0,20240101
45.0,144.0,20240101
45.0,145.0,20240101
45.0,146.0,20240101
