lat,lon,cum_gdd
24.0,122.0,2092.8099999999995
24.0,123.0,2135.71
24.0,124.0,2110.6800000000007
24.0,125.0,2096.4700000000007
24.0,126.0,2076.2599999999993
24.0,127.0,2060.5199999999995
24.0,128.0,2034.35
24.0,129.0,2035.4700000000003
24.0,130.0,2040.7700000000004
24.0,131.0,2039.3999999999999
24.0,132.0,2041.7799999999993
24.0,133.0,2054.74
24.0,134.0,2061.9800000000005
24.0,135.0,2077.0199999999995
24.0,136.0,2064.9499999999994
24.0,137.0,2060.3300000000004
24.0,138.0,2066.280000000001
24.0,139.0,2072.079999999999
24.0,140.0,2098.759999999999
24.0,141.0,2095.9899999999993
24.0,142.0,2101.1299999999997
24.0,143.0,2121.36
24.0,144.0,2115.0199999999995
24.0,145.0,2095.93
24.0,146.0,2090.459999999999
25.0,122.0,1715.7099999999998
25.0,123.0,2023.9200000000005
25.0,124.0,2023.7299999999996
25.0,125.0,1996.7000000000007
25.0,126.0,1984.1299999999992
25.0,127.0,1975.7899999999995
25.0,128.0,1935.5700000000002
25.0,129.0,1927.9300000000005
25.0,130.0,1947.3299999999997
25.0,131.0,1938.7
25.0,132.0,1940.8399999999997
25.0,133.0,1940.4600000000007
25.0,134.0,1948.6700000000003
25.0,135.0,1970.0200000000007
25.0,136.0,1953.959999999999
25.0,137.0,1939.3100000000002
25.0,138.0,1936.1899999999996
25.0,139.0,1940.5099999999998
25.0,140.0,1947.87
25.0,141.0,1945.5000000000005
25.0,142.0,1936.1399999999994
25.0,143.0,1950.8500000000004
25.0,144.0,1964.8699999999997
25.0,145.0,1992.62
25.0,146.0,1997.3900000000003
26.0,122.0,1536.0599999999995
26.0,123.0,1809.5299999999995
26.0,124.0,1841.4900000000005
26.0,125.0,1899.87
26.0,126.0,1898.2400000000002
26.0,127.0,1860.789999999999
26.0,128.0,1830.2199999999996
26.0,129.0,1829.809999999999
26.0,130.0,1818.8899999999999
26.0,131.0,1813.3099999999993
26.0,132.0,1817.56
26.0,133.0,1821.5200000000004
26.0,134.0,1828.5800000000006
26.0,135.0,1854.3300000000002
26.0,136.0,1845.26
26.0,137.0,1832.75
26.0,138.0,1832.6700000000005
26.0,139.0,1833.6800000000003
26.0,140.0,1831.3999999999996
26.0,141.0,1838.5499999999997
26.0,142.0,1840.6300000000003
26.0,143.0,1833.5499999999988
26.0,144.0,1843.8899999999999
26.0,145.0,1864.7900000000006
26.0,146.0,1867.8799999999997
27.0,122.0,1127.7200000000005
27.0,123.0,1424.8700000000001
27.0,124.0,1478.0300000000004
27.0,125.0,1620.7100000000005
27.0,126.0,1812.4499999999998
27.0,127.0,1796.1199999999992
27.0,128.0,1704.1899999999994
27.0,129.0,1734.5800000000004
27.0,130.0,1739.4399999999998
27.0,131.0,1724.24
27.0,132.0,1715.4200000000003
27.0,133.0,1710.0799999999997
27.0,134.0,1717.2700000000002
27.0,135.0,1738.6100000000004
27.0,136.0,1744.1900000000007
27.0,137.0,1734.490000000001
27.0,138.0,1739.0200000000011
27.0,139.0,1727.6200000000001
27.0,140.0,1705.7099999999996
27.0,141.0,1708.9
27.0,142.0,1710.07
27.0,143.0,1720.0599999999995
27.0,144.0,1740.039999999999
27.0,145.0,1752.9400000000007
27.0,146.0,1767.0300000000009
28.0,122.0,700.7800000000003
28.0,123.0,1068.0000000000002
28.0,124.0,1109.9
28.0,125.0,1255.01
28.0,126.0,1588.1300000000003
28.0,127.0,1701.8099999999997
28.0,128.0,1660.1600000000003
28.0,129.0,1635.03
28.0,130.0,1651.7599999999998
28.0,131.0,1648.809999999999
28.0,132.0,1637.4
28.0,133.0,1616.8199999999997
28.0,134.0,1615.0600000000002
28.0,135.0,1618.5099999999993
28.0,136.0,1604.8400000000006
28.0,137.0,1602.1199999999997
28.0,138.0,1624.0499999999993
28.0,139.0,1623.51
28.0,140.0,1586.7900000000009
28.0,141.0,1589.64
28.0,142.0,1593.5300000000002
28.0,143.0,1613.4599999999996
28.0,144.0,1630.9699999999991
28.0,145.0,1649.8099999999993
28.0,146.0,1668.739999999999
29.0,122.0,613.1999999999999
29.0,123.0,773.0400000000002
29.0,124.0,859.5
29.0,125.0,982.1200000000001
29.0,126.0,1255.2599999999998
29.0,127.0,1423.8599999999994
29.0,128.0,1613.4699999999993
29.0,129.0,1596.029999999999
29.0,130.0,1598.739999999999
29.0,131.0,1587.0500000000006
29.0,132.0,1562.0600000000002
29.0,133.0,1528.4399999999998
