date,temp,active_temp,cumsum
2025-05-11,20.09,10.09,269.50999999999993
2025-05-12,16.91,6.91,276.41999999999996
2025-05-13,18.13,8.129999999999999,284.54999999999995
2025-05-14,18.85,8.850000000000001,293.4
2025-05-15,19.25,9.25,302.65
2025-05-16,19.73,9.73,312.38
2025-05-17,20.4,10.399999999999999,322.78
2025-05-18,22.87,12.870000000000001,335.65
2025-05-19,18.17,8.170000000000002,343.82
2025-05-20,21.82,11.82,355.64
2025-05-21,21.88,11.879999999999999,367.52
2025-05-22,21.55,11.55,379.07
2025-05-23,17.52,7.52,386.59
2025-05-24,17.11,7.109999999999999,393.7
2025-05-25,18.94,8.940000000000001,402.64
2025-05-26,17.24,7.239999999999998,409.88
2025-05-27,16.6,6.600000000000001,416.48
2025-05-28,18.26,8.260000000000002,424.74
2025-05-29,18.12,8.120000000000001,432.86
2025-05-30,15.31,5.3100000000000005,438.17
2025-05-31,15.29,5.289999999999999,443.46000000000004
2025-06-01,17.62,7.620000000000001,451.08000000000004
2025-06-02,19.41,9.41,460.49000000000007
2025-06-03,18.76,8.760000000000002,469.25000000000006
2025-06-04,21.35,11.350000000000001,480.6000000000001
2025-06-05,21.0,11.0,491.6000000000001
2025-06-06,21.61,11.61,503.2100000000001
2025-06-07,22.11,12.11,515.32
2025-06-08,21.11,11.11,526.4300000000001
2025-06-09,20.22,10.219999999999999,536.6500000000001
2025-06-10,20.64,10.64,547.2900000000001
2025-06-11,23.23,13.23,560.5200000000001
2025-06-12,22.04,12.04,572.5600000000001
2025-06-13,21.31,11.309999999999999,583.87
2025-06-14,-999.0,0.0,583.87
2025-06-15,-999.0,0.0,583.87
2025-06-16,-999.0,0.0,583.87
2025-06-17,-999.0,0.0,583.87
